https://www.theverge.com/2023/4/11/23677217/talk-to-me-trailer-a24,url,headline,author,date
0,https://www.theverge.com/2023/4/11/23677904/the-marvels-trailer,The Marvels’ first trailer is a cosmic game of musical chairs,CHARLES PULLIAM-MOORE,"Apr 11, 2023"
1,https://www.theverge.com/23677044/sokpop-collective-100-indie-games-patreon,"After 100 games, indie collective Sokpop wants to make 100 more",JAY CASTELLO,"Apr 11, 2023"
2,https://www.theverge.com/23671900/beau-is-afraid-review,Beau Is Afraid is an exercise in laughing to keep from screaming,CHARLES PULLIAM-MOORE,"Apr 11, 2023"
3,https://www.theverge.com/2023/4/10/23678105/elon-musk-substack-notes-battle-matt-taibbi,Elon Musk tweets then deletes DMs from Matt Taibbi over his Substack snit,JAY PETERS,"Apr 11, 2023"
4,https://www.theverge.com/2023/4/11/23678438/microsoft-teams-snapchat-lenses-feature,Microsoft Teams now has Snapchat’s Lenses for video calls,TOM WARREN,"Apr 11, 2023"
5,https://www.theverge.com/2023/4/11/23677217/talk-to-me-trailer-a24,Talk to Me’s first trailer is a demonic dare,ANDREW WEBSTER,"Apr 11, 2023"
6,https://www.theverge.com/2023/4/11/23677081/belkin-boostcharge-pro-magsafe-samsung-galaxy-z-flip-4-hisense-tv-deal-sale,Belkin’s 2-in-1 MagSafe charger has hit a new all-time low price,SHEENA VASANI,"Apr 12, 2023"
7,https://www.theverge.com/2023/4/11/23678603/nintendo-live-2023-september-seattle,"E3 is canceled, but Nintendo Live is coming to the US in September",EMMA ROTH,"Apr 13, 2023"
8,https://www.theverge.com/23678497/apple-iphone-15-news-rumors-release-date-specs-features,All the rumors about this year’s iPhone 15 lineup,JON PORTER,"Apr 14, 2023"
9,https://www.theverge.com/2023/4/10/23677157/ev-rules-epa-emission-standards-biden-ice-gas-car-end,The end is nigh for gas-powered cars,ANDREW J. HAWKINS,"Apr 10, 2023"
10,https://www.theverge.com/2023/4/11/23677684/fitbit-google-account-login-migration,The Fitbit-to-Google account migration will start this summer,VICTORIA SONG,"Apr 11, 2023"
11,https://www.theverge.com/2023/4/11/23677649/google-maps-national-parks-trail-directions,"Finally, it’s easier to navigate national parks using Google Maps",JUSTINE CALMA,"Apr 11, 2023"
